gnnsafe w/o prop gcn
OOD Test 1 Final AUROC: 93.65 OOD Test 1 Final AUPR: 90.97 OOD Test 1 Final FPR: 30.08
IND Test Score: 96.08

gnnsafe++ w/o prop gcn
OOD Test 1 Final AUROC: 90.25 OOD Test 1 Final AUPR: 87.15 OOD Test 1 Final FPR: 48.84
IND Test Score: 95.84

gnnsafe gcn
OOD Test 1 Final AUROC: 97.48 OOD Test 1 Final AUPR: 97.37 OOD Test 1 Final FPR: 6.32
IND Test Score: 96.16

gnnsafe++ gcn
OOD Test 1 Final AUROC: 96.94 OOD Test 1 Final AUPR: 96.83 OOD Test 1 Final FPR: 8.71
IND Test Score: 95.76

gnnsafe w/o prop gen
OOD Test 1 Final AUROC: 93.75 OOD Test 1 Final AUPR: 91.06 OOD Test 1 Final FPR: 28.83
IND Test Score: 95.80

gnnsafe++ w/o prop gen
OOD Test 1 Final AUROC: 90.57 OOD Test 1 Final AUPR: 87.61 OOD Test 1 Final FPR: 48.38
IND Test Score: 95.84

gnnsafe gen
OOD Test 1 Final AUROC: 97.47 OOD Test 1 Final AUPR: 97.32 OOD Test 1 Final FPR: 6.15
IND Test Score: 95.88

gnnsafe++ gen
OOD Test 1 Final AUROC: 97.02 OOD Test 1 Final AUPR: 96.98 OOD Test 1 Final FPR: 7.60
IND Test Score: 95.88

gnnsafe++ gen
OOD Test 1 Final AUROC: 97.04 OOD Test 1 Final AUPR: 97.01 OOD Test 1 Final FPR: 7.57
IND Test Score: 95.84

gnnsafe w/o prop gat
OOD Test 1 Final AUROC: 98.05 OOD Test 1 Final AUPR: 95.46 OOD Test 1 Final FPR: 7.13
IND Test Score: 95.72

gnnsafe++ w/o prop gat
OOD Test 1 Final AUROC: 91.56 OOD Test 1 Final AUPR: 89.46 OOD Test 1 Final FPR: 68.74
IND Test Score: 94.91

gnnsafe gat
OOD Test 1 Final AUROC: 97.61 OOD Test 1 Final AUPR: 96.94 OOD Test 1 Final FPR: 2.94
IND Test Score: 95.64

gnnsafe++ gat
OOD Test 1 Final AUROC: 96.88 OOD Test 1 Final AUPR: 96.19 OOD Test 1 Final FPR: 8.39
IND Test Score: 95.68

gnnsafe++ gat
OOD Test 1 Final AUROC: 96.96 OOD Test 1 Final AUPR: 96.44 OOD Test 1 Final FPR: 6.92
IND Test Score: 95.64

