gnnsafe w/o prop gcn
OOD Test 1 Final AUROC: 96.19 OOD Test 1 Final AUPR: 95.29 OOD Test 1 Final FPR: 18.39
IND Test Score: 92.82

gnnsafe++ w/o prop gcn
OOD Test 1 Final AUROC: 98.20 OOD Test 1 Final AUPR: 97.04 OOD Test 1 Final FPR: 7.84
IND Test Score: 92.80

gnnsafe gcn
OOD Test 1 Final AUROC: 99.61 OOD Test 1 Final AUPR: 99.70 OOD Test 1 Final FPR: 0.26
IND Test Score: 92.84

gnnsafe++ gcn
OOD Test 1 Final AUROC: 99.94 OOD Test 1 Final AUPR: 99.92 OOD Test 1 Final FPR: 0.13
IND Test Score: 92.88

gnnsafe w/o prop gen
OOD Test 1 Final AUROC: 96.13 OOD Test 1 Final AUPR: 95.22 OOD Test 1 Final FPR: 18.64
IND Test Score: 92.77

gnnsafe++ w/o prop gen
OOD Test 1 Final AUROC: 98.25 OOD Test 1 Final AUPR: 97.10 OOD Test 1 Final FPR: 7.65
IND Test Score: 92.82

gnnsafe gen
OOD Test 1 Final AUROC: 99.62 OOD Test 1 Final AUPR: 99.70 OOD Test 1 Final FPR: 0.25
IND Test Score: 92.83

gnnsafe++ gen
OOD Test 1 Final AUROC: 99.94 OOD Test 1 Final AUPR: 99.93 OOD Test 1 Final FPR: 0.13
IND Test Score: 92.85

gnnsafe++ gen
OOD Test 1 Final AUROC: 99.94 OOD Test 1 Final AUPR: 99.93 OOD Test 1 Final FPR: 0.13
IND Test Score: 92.85

